Name                                                  Address  Ordinal
----                                                  -------  -------
KeReleaseQueuedSpinLock                               0047B3A0 121    
KeReleaseSpinLockForDpc                               005A6792 122    
KeTestSpinLock                                        004D63B0 123    
KeTryToAcquireGuardedMutex                            004DD184 124    
KeTryToAcquireQueuedSpinLock                          005A64CB 125    
KeTryToAcquireQueuedSpinLockRaiseToSynch              005A651D 126    
KeTryToAcquireSpinLockAtDpcLevel                      004EA5A0 127    
KefAcquireSpinLockAtDpcLevel                          0042F6B0 128    
KefReleaseSpinLockFromDpcLevel                        0042F6CE 129    
KfAcquireSpinLock                                     00450F50 130    
KfReleaseSpinLock                                     00450F90 131    
KiAccumulateCycleStats                                005249A4 132    
KiAcquireSpinLock                                     0042F6B0 133    
KiBeginThreadAccountingPeriod                         004C21C0 134    
KiCheckForSListAddress                                004C6820 135    
KiEndThreadAccountingPeriod                           00433AC0 136    
KiEntropyQueueDpc                                     004E668C 137    
KiReleaseSpinLock                                     0042F6CE 138    
ObReferenceObjectSafe                                 004A33F0 139    
ObReferenceObjectSafeWithTag                          004540C0 140    
ObfDereferenceObject                                  00453FE0 141    
ObfDereferenceObjectWithTag                           00453F20 142    
ObfReferenceObject                                    00453EF0 143    
ObfReferenceObjectWithTag                             00480F30 144    
PoNotifyMediaBuffering                                004F014E 145    
PoNotifyVSyncChange                                   0048B92A 146    
RtlPrefetchMemoryNonTemporal                          0053A2A8 147    
RtlUlongByteSwap                                      0053A2D0 148    
RtlUlonglongByteSwap                                  0053A2E0 149    
RtlUshortByteSwap                                     0053A2C0 150    
SeAuditingWithTokenForSubcategory                     006D7F9C 151    
WmiGetClock                                           005E6FFE 152    
Kei386EoiHelper                                       00535EBC 153    
AlpcGetHeaderSize                                     004A26CC 154    
AlpcGetMessageAttribute                               004A25A4 155    
AlpcInitializeMessageAttribute                        004A2692 156    
BgkDisplayCharacter                                   009439FF 157    
BgkGetConsoleState                                    00943A85 158    
BgkGetCursorState                                     00943AB9 159    
BgkSetCursor                                          00943AF3 160    
CcAddDirtyPagesToExternalCache                        0058C8AD 161    
CcAsyncCopyRead                                       004E0602 162    
CcCanIWrite                                           00499EA0 163    
CcCoherencyFlushAndPurgeCache                         004A4782 164    
CcCopyRead                                            00752FCE 165    
CcCopyReadEx                                          0047DA70 166    
CcCopyWrite                                           0058CD3E 167    
CcCopyWriteEx                                         00448E10 168    
CcCopyWriteWontFlush                                  004D54B0 169    
CcDeductDirtyPagesFromExternalCache                   0058C989 170    
CcDeferWrite                                          0058CD62 171    
CcFastCopyRead                                        0083AE89 172    
CcFastCopyWrite                                       0058CE07 173    
CcFastMdlReadWait                                     0061F568 174    
CcFlushCache                                          004A480E 175    
CcFlushCacheToLsn                                     004F14CA 176    
CcGetCachedDirtyPageCountForFile                      0058D1D1 177    
CcGetDirtyPages                                       004732B0 178    
CcGetFileObjectFromBcb                                0058C81F 179    
CcGetFileObjectFromSectionPtrs                        0058C839 180    
CcGetFileObjectFromSectionPtrsRef                     005063FA 181    
CcGetFlushedValidData                                 004E25A4 182    
CcGetLsnForFileObject                                 0058D1F3 183    
CcInitializeCacheMap                                  004EA92A 184    
CcInitializeCacheMapEx                                0047ADD0 185    
CcIsThereDirtyData                                    0058D2E1 186    
CcIsThereDirtyDataEx                                  0058D391 187    
CcIsThereDirtyLoggedPages                             004DF6B8 188    
CcMapData                                             006BDF90 189    
CcMdlRead                                             0073C2C4 190    
CcMdlReadComplete                                     00748988 191    
CcMdlWriteAbort                                       0058D5A3 192    
CcMdlWriteComplete                                    0075302A 193    
CcPinMappedData                                       006BDC20 194    
CcPinRead                                             006BDAC0 195    
CcPrepareMdlWrite                                     004E8C7C 196    
CcPreparePinWrite                                     00743B28 197    
CcPurgeCacheSection                                   004B3090 198    
CcRegisterExternalCache                               0058CC12 199    
CcRemapBcb                                            004CEAE0 200    
CcRepinBcb                                            0058CF84 201    
CcScheduleReadAhead                                   0058CFD5 202    
CcScheduleReadAheadEx                                 00499474 203    
CcSetAdditionalCacheAttributes                        0047AD5E 204    
CcSetAdditionalCacheAttributesEx                      0047AC70 205    
CcSetBcbOwnerPointer                                  0083AF3B 206    
CcSetDirtyPageThreshold                               0058C87A 207    
CcSetDirtyPinnedData                                  0049B110 208    
CcSetFileSizes                                        004EAC36 209    
CcSetFileSizesEx                                      0047A4E0 210    
CcSetLogHandleForFile                                 0058D40B 211    
CcSetLogHandleForFileEx                               004E0F94 212    
CcSetLoggedDataThreshold                              00503B92 213    
CcSetParallelFlushFile                                0047AC12 214    
CcSetReadAheadGranularity                             004DE6B4 215    
CcSetReadAheadGranularityEx                           0058CFF3 216    
CcTestControl                                         0053A9DA 217    
CcUninitializeCacheMap                                004B3570 218    
CcUnmapFileOffsetFromSystemCache                      004E6492 219    
CcUnpinData                                           006BB540 220    
CcUnpinDataForThread                                  0083AF80 221    
CcUnpinRepinnedBcb                                    0058D045 222    
CcUnregisterExternalCache                             0058CCED 223    
CcWaitForCurrentLazyWriterActivity                    004F16C6 224    
CcZeroData                                            00740764 225    
CcZeroDataOnDisk                                      004E338E 226    
CmCallbackGetKeyObjectID                              0083D606 227    
CmCallbackGetKeyObjectIDEx                            006E18F0 228    
CmCallbackReleaseKeyObjectIDEx                        0074208E 229    
CmGetBoundTransaction                                 007506D6 230    
CmGetCallbackVersion                                  0083D6BF 231    
CmKeyObjectType                                       0063CD90 232    
CmRegisterCallback                                    007A8878 233    
CmRegisterCallbackEx                                  0078B6FC 234    
CmSetCallbackObjectContext                            0083D6E2 235    
CmUnRegisterCallback                                  0083D9CF 236    
DbgBreakPoint                                         0052806C 237    
DbgBreakPointWithStatus                               00528060 238    
DbgCommandString                                      005D4B99 239    
DbgLoadImageSymbols                                   0049FA94 240    
DbgPrint                                              004A01E2 241    
DbgPrintEx                                            004A01B8 242    
DbgPrintReturnControlC                                005D4BF2 243    
DbgPrompt                                             005D4C16 244    
DbgQueryDebugFilterState                              005D4C5C 245    
DbgSetDebugFilterState                                0051785C 246    
DbgSetDebugPrintCallback                              005D4C6C 247    
DbgkLkmdRegisterCallback                              0079A90C 248    
DbgkLkmdUnregisterCallback                            00857AEA 249    
DbgkWerCaptureLiveKernelDump                          00858295 250    
EmClientQueryRuleState                                00652466 251    
EmClientRuleDeregisterNotification                    00858EDE 252    
EmClientRuleEvaluate                                  0065252E 253    
EmClientRuleRegisterNotification                      00858FA8 254    
EmProviderDeregister                                  00859208 255    
EmProviderDeregisterEntry                             0085939F 256    
EmProviderRegister                                    0078E75A 257    
EmProviderRegisterEntry                               00859402 258    
EmpProviderRegister                                   0078E7A0 259    
EtwActivityIdControl                                  004DC720 260    
EtwEnableTrace                                        0074AD68 261    
EtwEventEnabled                                       00435230 262    
EtwProviderEnabled                                    004C08BC 263    
EtwRegister                                           007519D6 264    
EtwRegisterClassicProvider                            00752E38 265    
EtwSendTraceBuffer                                    005E7041 266    
EtwSetInformation                                     0077B07A 267    
EtwUnregister                                         0077AEA4 268    
EtwWrite                                              00481430 269    
EtwWriteEndScenario                                   0077A9A0 270    
EtwWriteEx                                            00481460 271    
EtwWriteStartScenario                                 0077A434 272    
EtwWriteString                                        005E776A 273    
EtwWriteTransfer                                      0049C2B0 274    
ExAcquireCacheAwarePushLockExclusive                  00500192 275    
ExAcquireResourceExclusiveLite                        004541E0 276    
ExAcquireResourceSharedLite                           004544B0 277    
ExAcquireSharedStarveExclusive                        0047FAC0 278    
ExAcquireSharedWaitForExclusive                       00505E50 279    
ExAcquireSpinLockExclusive                            00474EE0 280    
ExAcquireSpinLockExclusiveAtDpcLevel                  004778A0 281    
ExAcquireSpinLockShared                               00475140 282    
ExAcquireSpinLockSharedAtDpcLevel                     004750D0 283    
ExAllocateAutoExpandPushLock                          005EE737 284    
ExAllocateCacheAwarePushLock                          0050270C 285    
ExAllocateCacheAwareRundownProtection                 00761A16 286    
ExAllocateFromPagedLookasideList                      004B56F6 287    
ExAllocatePool                                        004EAC68 288    
ExAllocatePoolWithQuota                               005EDE0D 289    
ExAllocatePoolWithQuotaTag                            0042C800 290    
ExAllocatePoolWithTag                                 00606980 291    
ExAllocatePoolWithTagPriority                         004A61A8 292    
ExAllocateTimer                                       00510898 293    
